Menu Product,Sold Count,Account,Cash,Check,Credit Card,Charge,Total
Bagel,1,1,0,0,0,0,1
Bfst Entree,30,37.5,0,0,0,0,37.5
Cheese Stick,153,76.5,0,0,0,0,76.5
Cream CheeseCup,1,0.5,0,0,0,0,0.5
Extra Juice,19,9.5,0,0,0,0,9.5
Extra Milk,660,320.5,7,0,0,2.5,330
Fresh Fruit,92,69,0,0,0,0,69
Large Drink,4667,6999,1.5,0,0,0,7000.5
PopTart,6,7.5,0,0,0,0,7.5
100% Fruit Juic,640,318.5,0.5,0,0,1,320
BBQ Pork Sandwi,204,357,0,0,0,0,357
Beef Haystacks,66,115.5,0,0,0,0,115.5
Bosco Sticks,261,456.75,0,0,0,0,456.75
Bottled Water,748,1122,0,0,0,0,1122
Breadstick,18,9,0,0,0,0,9
Brownie,3,1.5,0,0,0,0,1.5
Buff. Chckn Tot,41,71.75,0,0,0,0,71.75
Chckn Drumstick,144,250.25,1.75,0,0,0,252
Cheeseburger,1328,2323,1,0,0,0,2324
Cheeseburger Ma,121,208.25,3.5,0,0,0,211.75
Chicken Nuggets,350,612.5,0,0,0,0,612.5
Chips/Snacks,5924,4443,0,0,0,0,4443
Cntry Frd Stk,276,483,0,0,0,0,483
Cookie,6,3,0,0,0,0,3
Cookies,4072,3098.25,0,0,0,0,3098.25
Corndog,256,448,0,0,0,0,448
Crspy Chckn Snd,333,581,0,0,0,1.75,582.75
Deep Dish Pizza,399,698.25,0,0,0,0,698.25
Dessert Bar,1211,908.25,0,0,0,0,908.25
Dinner Roll,41,20,0.5,0,0,0,20.5
Domino's Pizza,3875,6781.25,0,0,0,0,6781.25
Doritos,24,18,0,0,0,0,18
Frnch Brd Pizza,875,1531.25,0,0,0,0,1531.25
Fruit,96,71.25,0.75,0,0,0,72
Fruit Cup,538,1076,0,0,0,0,1076
Fruit Snacks,4489,3366.75,0,0,0,0,3366.75
Grab & Go Salad,46,110.55,0,0,0,1.7,112.25
Grab & Go Sandw,31,71,0,0,0,0,71
Grilled Cheese ,183,320.25,0,0,0,0,320.25
Grlld Chckn Snd,325,568.75,0,0,0,0,568.75
Hamburger,105,183.75,0,0,0,0,183.75
Hot Dog ,185,323.75,0,0,0,0,323.75
Ice Cream Bar,929,929,0,0,0,0,929
Lunch Entree,5,8.75,0,0,0,0,8.75
Milk,354,176,0.5,0,0,0.5,177
PB&J Uncrustabl,49,85.75,0,0,0,0,85.75
Quesadilla,286,500.5,0,0,0,0,500.5
Ranch Dip Cup,68,34,0,0,0,0,34
Rice Krispie,1929,1446.75,0,0,0,0,1446.75
Spag & Meat Sce,64,112,0,0,0,0,112
Turkey & Cheese,77,134.75,0,0,0,0,134.75
Vegetable,312,232.5,0,0,0,1.5,234
Veggie Cup,1,2,0,0,0,0,2
Wffls & Sg Link,257,449.75,0,0,0,0,449.75
Yogurt,51,38.25,0,0,0,0,38.25
Yogurt Parfait,636,1272,0,0,0,0,1272
